name,address
Helios University Hospital Wuppertal,"Heusnerstraße, 40, 42283 Wuppertal, Germany"
German Heart Center Munich,"Lazarettstraße, 36, 80636 Munich, Germany"
Vivantes Hospital Humboldt Berlin-Reinickendorf,"Am Nordgraben, 2, 13509 Berlin, Germany"
Vivantes Hospital Berlin-Friedrichshain,"Landsberger Allee, 49, 10249 Berlin, Germany"
Vivantes Hospital Berlin-Neukolln,"Rudower Str., 48, 12351 Berlin, Germany"
University Hospital Leipzig,"Liebigstraße, 20, 04103 Leipzig, Germany"
Assuta Medical Center Tel Aviv,"HaBarzel St, 20,  Tel Aviv, Israel"
University Miners' Hospital Bochum,"In d. Schornau, 23-25, 44892 Bochum, Germany"
Heart and Diabetes Center NRW Bad Oeynhausen,"Georgstraße, 11, 32545 Bad Oeynhausen, Germany"
ATOS Orthopedic Clinic Fleetinsel Hamburg,"Admiralitätstraße, 3-4, 20459 Hamburg, Germany"
ATOS Orthopedic Clinic Stuttgart,"Hohenheimer Str., 91, 70184 Stuttgart, Germany"
ATOS Orthopedic Clinic Heidelberg,"Bismarckstraße, 9-15, 69115 Heidelberg, Germany"
Helios ENDO-Clinic Hamburg,"Holstenstraße, 2, 22767 Hamburg, Germany"
Helios Heart Centre Leipzig,"Strümpellstraße, 39, 04289 Leipzig, Germany"
Orthopedic and Spinal Fortius Clinic London,"Wigmore St, 66, W1U 2SB London, UK"
Medicana International Hospital Istanbul,"Beylikdüzü Cd., 3, 34520 Istanbul, Turkey"
Medicana Atasehir Hospital Istanbul,"Vedat Günyol Cd., No:24, 34750 Istanbul, Turkey"
VM Medical Park Florya Hospital Istanbul,"Akasya Sk., No:4, 34295 Istanbul, Turkey"
Istinye University Hospital MedicalPark Istanbul,"Çukurçeşme Cd., 57, 34250 Istanbul, Turkey"
University Hospital Vienna (AKH),"Währinger Gürtel, 18-20, 1090 Vienna, Austria"
University Hospital de Navarra Pamplona,"Av. de Pío XII, 36, 31008 Pamplona, Spain"
American Hospital Istanbul,"Güzelbahçe Sk., 20, 34365 Istanbul, Turkey"
Dr. Soho Clinic Istanbul,"Büyük Çiftlik Sk., No:7 K:3, 34365 Istanbul, Turkey"
Estetik International Bursa,"No:206, , 16140 Bursa, Turkey"
Soyep Aesthetics Istanbul,"Vali Konağı Cd., , 34365 Istanbul, Turkey"
Acibadem International Hospital Istanbul,"İstanbul Caddesi, 82, 34149 Istanbul, Turkey"
Acibadem Maslak Hospital Istanbul,"Büyükdere Cd., No:40, 34398 Istanbul, Turkey"
Acibadem Taksim Hospital Istanbul,"Nizamiye Cd., No:9, 34373 Istanbul, Turkey"
Children's Memorial Health Institute Warsaw,"aleja Dzieci Polskich, 20, 04-736 Warsaw, Poland"
Greater Poland Cancer Centre Poznan,"Garbary, 15, 61-866 Poznan, Poland"
University Hospital Brno,"Jihlavská, 20, 625 00 Brno, Czechia"
University Hospital Motol Prague,"V Úvalu, 84, 150 06 Prague, Czechia"
LIV Hospital Ulus Istanbul,"Canan Sk., , 34340 Istanbul, Turkey"
University Hospital Dexeus Barcelona,"Carrer de Sabino Arana, 5, 08028 Barcelona, Spain"
University Hospital HM Sanchinarro Madrid,"C. de Oña, 10, 28050 Madrid, Spain"
Asan Medical Center Seoul,"05505 Seoul, South Korea"
Samsung Medical Center Seoul,"06351 Seoul, South Korea"
Seoul National University Hospital,"03080 Seoul, South Korea"
Bumrungrad International Hospital Bangkok,"Soi Sukhumvit 3, 33, 10110 Bangkok, Thailand"
EuroEyes Clinic Berlin,"Bellevuestraße, 5, 10785 Berlin, Germany"
EuroEyes Clinic Dusseldorf,"Königsallee, 62, 40212 Dusseldorf, Germany"
Maria Cecilia Hospital,"Via Corriera, 1, 48033 Cotignola, Italy"
Gennet Clinic Letna Prague,"Prague, Czechia"
Gennet Clinic Liberec,"Liberec, Czechia"
Institute of Life Athens,"Athens, Greece"
INUSpheresis Center Basel,"Basel, Switzerland"
Dermatology Centre Prof. Braun-Falco Munich,"Nymphenburger Str., 22, 80335 Munich, Germany"
Academic Hospital Martha-Maria Munich,"Wolfratshauser Str., 109, 81479 Munich, Germany"
Urology Clinic Wiener Platz & Grunwald Munich,"Innere Wiener Straße, 50, 81667 Munich, Germany"
ATOS Orthopedic Clinic Munich,"Effnerstraße, 38, 81925 Munich, Germany"
Oncological and Haematological Praxis Clinic Bonn,"Europaring, 42, 53123 Bonn, Germany"
Rehabilitation Centre Benedictus Feldafing,"Thomas-Mann-Straße, 6, 82340 Feldafing, Germany"
MEOCLINIC Berlin,"Friedrichstraße, 71, 10117 Berlin, Germany"
Rehabilitation Clinic Schmieder Allensbach,"Zum Tafelholz, 8, 78476 Allensbach, Germany"
Helios Hospital Krefeld,"Lutherpl., 40, 47805 Krefeld, Germany"
 Aesthetic Plastic Surgery Centre Istanbul,"Keskin Kalem Sok., 1, 34394 Istanbul, Turkey"
University Hospital Dusseldorf,"40225 Dusseldorf, Germany"
University Hospital Hamburg-Eppendorf,"Martinistraße, 52, 20251 Hamburg, Germany"
University Hospital Marburg,"Conradistraße, 10, 35043 Marburg, Germany"
University Hospital Schleswig-Holstein Lubeck,"Ratzeburger Allee, 160, 23562 Lubeck, Germany"
Solingen Municipal Hospital,"Gotenstraße, 1, 42653 Solingen, Germany"
Oncological Clinic Medias Burghausen,"Krankenhausstraße, 3a, 84489 Burghausen, Germany"
University Hospital Johannes Gutenberg Mainz,"Langenbeckstraße, 1, 55131 Mainz, Germany"
University Hospital Augsburg,"Stenglinstraße, 2, 86156 Augsburg, Germany"
Herzliya Medical Center,"שד' אלי לנדאו, 7, 4685107 Herzliya, Israel"
Academic Hospital Harlaching Munich,"Sanatoriumspl., 2, 81545 Munich, Germany"
University Hospital Cologne,"Kerpener Str., 62, 50937 Cologne, Germany"
University Hospital Gottingen,"Robert-Koch-Straße, 40, 37075 Gottingen, Germany"
Academic Hospital Schwabing Munich,"Kölner Pl., 1, 80804 Munich, Germany"
Dermatological Hospital Thalkirchner Strasse Munich,"Frauenlobstraße, 9 - 11, 80337 Munich, Germany"
Vivantes Hospital Auguste Viktoria Berlin-Schoneberg,"Rubensstraße, 125, 12157 Berlin, Germany"
University Hospital Bergmannsheil Bochum,"Bürkle de la Camp-Platz, 1, 44789 Bochum, Germany"
ATOS Orthoparc Clinic Cologne,"Aachener Str., 1021B, 50858 Cologne, Germany"
Academic Park-Clinic Helios Leipzig,"Strümpellstraße, 41, 04289 Leipzig, Germany"
Schoen Clinic Hamburg Eilbek,"Dehnhaide, 120, 22081 Hamburg, Germany"
Schoen Clinic Neustadt,"Am Kiebitzberg, 10, 23730 Neustadt, Germany"
Schoen Clinic Vogtareuth,"Krankenhausstraße, 20, 83569 Vogtareuth, Germany"
Helios Cecilia Hospital Huls,"Fette Henn, 50, 47839 Krefeld, Germany"
WALK AGAIN Center Berlin,"Friedrichstraße, 71, 10117 Berlin, Germany"
Dobling Private Hospital Vienna,"Heiligenstädter Str., 55-63, 1190 Vienna, Austria"
Wiener Private Clinic Vienna,"Pelikangasse, 15, 1090 Vienna, Austria"
European Institute of Oncology Milan,"Via Giuseppe Ripamonti, 435, 20141 Milan, Italy"
Koc University Hospital Istanbul,"Davutpaşa Cd., No:4, 34010 Istanbul, Turkey"
Estetik International Quasar Istanbul,"Büyükdere Cd., , 34394 Istanbul, Turkey"
Turkeyana Clinic Istanbul,"34140 Istanbul, Turkey"
ESTpoint Istanbul,"Teşvikiye Cd., , 34365 Istanbul, Turkey"
VAMED Rehabilitation Clinic Hattingen,"Am Hagen, 20, 45527 Hattingen, Germany"
Maria Sklodowska-Curie Memorial Institute of Oncology Warsaw,"Wawelska, 15, 00-001 Warsaw, Poland"
John Paul II Hospital Krakow,"Prądnicka, 80, 31-202 Krakow, Poland"
University Hospital Quironsalud Madrid,"C. Diego de Velázquez, 1, 28223 Madrid, Spain"
BLK Max Super Speciality Hospital Delhi,"Pusa Rd, , 110005 Delhi, India"
University Hospital HM Monteprincipe Madrid,"Av. de Montepríncipe, 25, 28660 Madrid, Spain"
Sikarin Hospital Bangkok,"Thanon Lasalle, 976, 10260 Bangkok, Thailand"
Academic Hospital Martha-Maria Halle-Dolau,"Röntgenstraße, 1, 06120 Halle (Saale), Germany"
Specialized Clinic Asklepios Weserbergland Hoexter,"Grüne Mühle, 90, 37671 Hoexter, Germany"
EuroEyes Clinic Frankfurt am Main,"Große Bockenheimer Str., 30, 60313 Frankfurt am Main, Germany"
EuroEyes Clinic Munich,"Frauenplatz, 10, 80331 Munich, Germany"
Asklepios Hospital Barmbek Hamburg,"Rübenkamp, 220, 22307 Hamburg, Germany"
Sanssouci Clinic Potsdam,"Helene-Lange-Straße, 13, 14469 Potsdam, Germany"
Muscat Eye Laser Center,"117 Muscat, Oman"
Turan & Turan Hospital,"Bursa, Turkey"
Hollywood Dental Clinic Izmir,"Izmir, Turkey"
HALDent Clinic Zabierzow,"Zabierzow, Poland"
Wolfgarten Gynaecology Clinic Bonn,"Adenauerallee, 117, 53113 Bonn, Germany"
Academic Hospital Schlosspark Charlottenburg Berlin,"Heubnerweg, 2, 14059 Berlin, Germany"
International Neuroscience Institute Hanover,"Rudolf-Pichlmayr-Straße, 4, 30625 Hanover, Germany"
KCM Clinic Wroclaw,"al. Krucza, 2A, 53-406 Wroclaw, Poland"
Memorial Sisli Hospital Istanbul,"Okmeydanı Cd., No: 4, 34384 Istanbul, Turkey"
Fedorov Restore Vision Clinic,"Prenzlauer Allee, 90, 10409 Berlin, Germany"
University Hospital Oldenburg,"Ammerländer Heerstraße, 114-118, 26129 Oldenburg, Germany"
DRK Hospital Altenkirchen,"Leuzbacher Weg, 21, 57610 Altenkirchen, Germany"
DRK Hospital Hachenburg,"Alte Frankfurter Str., 12, 57627 Hachenburg, Germany"
Academic Hospital Bogenhausen Munich,"Englschalkinger Str., 77, 81925 Munich, Germany"
Academic Hospital Neuperlach Munich,"Oskar-Maria-Graf-Ring, 51, 81737 Munich, Germany"
Vivantes Hospital Berlin-Kaulsdorf,"Myslowitzer Str., 45, 12621 Berlin, Germany"
Vivantes Hospital Berlin-Spandau,"Neue Bergstraße, 6, 13585 Berlin, Germany"
Academic Marien Hospital Herne,"Hölkeskampring, 40, 44625 Herne, Germany"
ATOS Orthopedic Clinic Braunfels,"Hasselbornring, 5, 35619 Braunfels, Germany"
Helios Hospital Emil von Behring Berlin-Zehlendorf,"Walterhöferstraße, 11, 14165 Berlin, Germany"
Academic Hospital Helios Munich-Perlach,"Schmidbauerstraße, 44, 81737 Munich, Germany"
Helios Hospital Aue-Bad Schlema,"Gartenstraße, 6, 08280 Aue-Bad Schlema, Germany"
Helios Hospital Erfurt,"Nordhäuser Str., 74, 99089 Erfurt, Germany"
Medicana Haznedar Hospital Istanbul,"Bağcılar Cd., 1, 34160 Istanbul, Turkey"
Memorial Wellness Istanbul,"34340 Istanbul, Turkey"
Medicana International Hospital Samsun,"Şht. Mesut Birinci Cd., 85, 55080 Samsun, Turkey"
Medicana Camlica Hospital Istanbul,"34692 Istanbul, Turkey"
Academic Hospital Helios Hildesheim,"Senator-Braun-Allee, 33, 31135 Hildesheim, Germany"
Helios Hospital Idstein,"Robert-Koch-Straße, 2, 65510 Idstein, Germany"
VM Medical Park Hospital Maltepe Istanbul,"Bağdat Cad., No:547, 34846 Istanbul, Turkey"
University Hospital San Raffaele Milan IRCCS,"Via Olgettina, 60, 20132 Milan, Italy"
University Hospital Medipol Istanbul,"34214 Istanbul, Turkey"
Hisar Hospital Intercontinental Istanbul,"Site Yolu Cd, No:7, 34768 Istanbul, Turkey"
EsteCapelli Istanbul,"Yeniyol Sk., No:2 / 96, 34440 Istanbul, Turkey"
NIM Clinic Istanbul,"Silahşör Cd., No:65/46, 34380 Istanbul, Turkey"
Acibadem Hospital Adana,"Cumhuriyet Cd., 66, 01130 Adana, Turkey"
Institute of Cardiology Warsaw,"Alpejska, 42, 04-628 Warsaw, Poland"
Gamma Knife Center Warsaw,"Ludwika Kondratowicza, 8, 03-242 Warsaw, Poland"
University Hospital Pilsen,"Alej Svobody, 80, 323 00 Pilsen, Czechia"
Hospital Quironsalud Barcelona,"Plaça d'Alfonso Comín, 5, 08023 Barcelona, Spain"
Hospital Ruber Internacional Madrid,"C. de La Masó, 38, 28034 Madrid, Spain"
Institut Curie Hospital Paris,"Rue d'Ulm, 26, 75005 Paris, France"
Academic Hospital Martha-Maria Nuremberg,"Stadenstraße, 58, 90491 Nuremberg, Germany"
EuroEyes Clinic Hamburg,"Valentinskamp, 90, 20355 Hamburg, Germany"
Asklepios Hospital Hamburg,"Eißendorfer Pferdeweg, 52, 21075 Hamburg, Germany"
Denthouse Istanbul,"Kervan Geçmez Sk., , 34387 Istanbul, Turkey"
 Robert Bosch Hospital,"Auerbachstraße, 110, 70376 Stuttgart, Germany"
Specialist Hospital St. Families Rudna Mala,"Rzeszów, 600, 36-060 Rudna Mala, Poland"
University Tirol Hospital Innsbruck,"Anichstraße, 35, 6020 Innsbruck, Austria"
Grand Clinic Istanbul,"Istanbul, Turkey"
The Dr Pure Clinic Lisbon,"Lisbon, Portugal"
AIWA Сlinic Riga,"Riga, Latvia"
AMSA Healthcare Dubai,"Dubai, United Arab Emirates"
Pro EndoDentica Clinic Lodz,"Lodz, Poland"
Hospital San Antonio Chapala,"San Antonio Tlayacapan, Mexico"
ATOS Orthopedic Clinic Frankfurt am Main,"Brönnerstraße, 15, 60313 Frankfurt am Main, Germany"
Carolina Medical Centre Gdansk,"Wileńska, 44, 80-215 Gdansk, Poland"
Istanbul Bariatric Centre,"Nizamiye Cd., No:9, 34373 Istanbul, Turkey"
Dr. HE Obesity Clinic Istanbul,"Kısıklı Cd., No:5, 34662 Istanbul, Turkey"
Nordwest Hospital Frankfurt am Main,"Steinbacher Hohl, 2-26, 60488 Frankfurt am Main, Germany"
University Hospital Immanuel Bernau Berlin,"Ladeburger Str., 17, 16321 Berlin, Germany"
Paracelsus Clinic Munich,"Klingsorstraße, 5, 81927 Munich, Germany"
Vivantes Hospital Am Urban Berlin-Kreuzberg,"Dieffenbachstraße, 1, 10967 Berlin, Germany"
Sporthopaedicum Orthopedic Clinic Berlin,"Bismarckstraße, 45-47, 10627 Berlin, Germany"
Academic Hospital Herford,"Schwarzenmoorstraße, 70, 32049 Herford, Germany"
ATOS MediaPark Clinic Cologne,"Im Mediapark, 3, 50670 Cologne, Germany"
Academic Hospital Helios St. Josef Uerdingen-Krefeld,"Kurfürstenstraße, 69, 47829 Krefeld, Germany"
Memorial Hospital Antalya,"07025 Antalya, Turkey"
Medicana Hospital Bursa,"İzmir Yolu Cd, No: 41, 16110 Bursa, Turkey"
Medical Park Hospital Antalya,"Tekelioğlu Cd., No:7, 07160 Antalya, Turkey"
Medical Park Bahcelievler Hospital Istanbul,"34180 Istanbul, Turkey"
VM Medical Park Hospital Bursa,"Fevzi Çakmak Cd., No:76, 16220 Bursa, Turkey"
Helios Hospital Oberwald Grebenhain,"An den Mühlwiesen, 14-17, 36355 Grebenhain, Germany"
Academic Hospital Helios Hettstedt,"Robert-Koch-Straße, 8, 06333 Hettstedt, Germany"
Adem&Havva Center Istanbul,"İncirli Dede Cd., No:6/2, 34380 Istanbul, Turkey"
Acibadem Altunizade Hospital Istanbul,"Yurtcan Sokağı, No:1, 34662 Istanbul, Turkey"
Acibadem Hospital Ankara,"Tevfik Kış Cd, No:6, 06450 Ankara, Turkey"
Florence Nightingale Hospital Istanbul,"Abide-i Hürriyet Cd, No:166, 34381 Istanbul, Turkey"
Nobel Medical Rehabilitation Center Pamukkale,"120. Sağlık sokak, No:5/1, 20290 Pamukkale, Turkey"
VAMED Outpatient Rehabilitation Clinic Ulm,"Wilhelmstraße, 22, 89073 Ulm, Germany"
Institute of Polish Mother's Health Center Lodz,"Rzgowska, 281, 93-338 Lodz, Poland"
CLINIC HIFU Prostate Cancer Treatment Center Warsaw,"Seweryna Goszczyńskiego, 1, 02-616 Warsaw, Poland"
General University Hospital Prague,"U Nemocnice, 499/2, 128 08 Prague, Czechia"
University Hospital Bulovka Prague,"Budínova, 2, 180 00 Prague, Czechia"
Hospital Angeles Tijuana,"P.º de los Héroes, 10999, 22010 Tijuana, Mexico"
Asklepios Hospital St. Wolfgang Bad Griesbach,"Ludwigpromenade, 6, 94086 Bad Griesbach, Germany"
Academic Hospital Asklepios West Hamburg,"Suurheid, 20, 22559 Hamburg, Germany"
Specialized Clinic Asklepios Bad Schwartau,"Am Kurpark, 6-12, 23611 Bad Schwartau, Germany"
Asklepios Nordsee Hospital Westerland Sylt,"Norderstraße, 81, 25980 Sylt, Germany"
Forme Clinic Prague,"Jeseniova, 2797/30, 130 00 Prague, Czechia"
PraxisClinic Jadore Darmstadt,"Neckarstraße, 5, 64283 Darmstadt, Germany"
Corachan Clinic Barcelona,"Barcelona, Spain"
Albodent Clinic Vilnius,"Vilnius, Lithuania"
Orthopedica Clinic Bratislava,"Bratislava, Slovakia"
European Radiosurgery Centre Munich,"Max-Lebsche-Platz, 31, 81377 Munich, Germany"
Dermatological Centre Bonn,"Friedenspl., 16, 53111 Bonn, Germany"
Academic Hospital DRK Berlin-Westend,"Spandauer Damm, 130, 14050 Berlin, Germany"
Radiotherapy and Gamma Knife Centre Krefeld,"Seyffardtstraße, 27, 47805 Krefeld, Germany"
Johanna Etienne Hospital Neuss,"Am Hasenberg, 46, 41462 Neuss, Germany"
Academic Hospital DRK Berlin-Mitte,"Drontheimer Str., 39 – 40, 13359 Berlin, Germany"
Outpatient Rehabilitation Clinic Schmieder Stuttgart,"Rötestraße, 18a, 70197 Stuttgart, Germany"
Rehabilitation Clinic Schmieder Gerlingen,"Solitudestraße, 20, 70839 Gerlingen, Germany"
Carolina Medical Centre Warsaw,"Pory, 78, 02-757 Warsaw, Poland"
ATOS Orthopaedic Starmed Clinic Munich,"Putzbrunner Str., 9, 81737 Munich, Germany"
Academic Hospital Helios Munich-West,"Steinerweg, 5, 81241 Munich, Germany"
Helios Mariahilf Hospital Hamburg,"Stader Str., 203C, 21075 Hamburg, Germany"
Schoen Clinic Bad Aibling,"Kolbermoorer Str., 72, 83043 Bad Aibling, Germany"
Academic Hospital Helios Attendorn,"Hohler Weg, 9, 57439 Attendorn, Germany"
Memorial Hospital Ankara,"1422. Sk., No: 4, 06520 Ankara, Turkey"
Memorial Atasehir Hospital Istanbul,"Vedat Günyol Cd., No:28-30, 34750 Istanbul, Turkey"
Helios Hospital Kiel,"Hamburger Ch, 77, 24113 Kiel, Germany"
Medicana Bahcelievler Hospital Istanbul,"Adnan Kahveci Blv., No:2, 34180 Istanbul, Turkey"
Yeditepe University Kosuyolu Hospital Istanbul,"Koşuyolu Cd., No: 168, 34718 Istanbul, Turkey"
Acibadem Hospital Bursa,"Sümer Sk., 1, 16110 Bursa, Turkey"
Acibadem Hospital Kayseri,"Mustafa Kemal Paşa Blv., 1, 38030 Kayseri, Turkey"
Acibadem Outpatient Clinic Bodrum,"Kıbrıs Şehitleri Cd., No:60/1, 48400 Bodrum, Turkey"
B.Care Medical Center Bangkok,"Phaholyothin Road, 29 Moo 6, 10220 Bangkok, Thailand"
Asklepios Hospital Wiesbaden,"Geisenheimer Str., 10, 65197 Wiesbaden, Germany"
